Case Type,Status,Request Received (Year),Request Received (Month),Request Closed (Year),Request Closed (Month),Case Active Days at Closure,Case Active Days (grouped),Closed on Time?,Reason (grouped),Number of Records
FOIA Case,Closed,2019,December,2020,January,30,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2019,August,2019,November,63,More than 60 days used,late,Full Disclosure,1
FOIA Case,Closed,2021,August,2021,August,8,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2020,August,2020,September,12,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2021,May,2021,May,15,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2021,October,2021,November,21,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2021,April,2021,July,65,More than 60 days used,late,Full Disclosure,1
FOIA Case,Closed,2022,August,2022,September,27,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2023 to June,May,2023 to June,June,32,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2022,August,2022,September,32,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2019,October,2019,November,15,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2019,September,2019,September,16,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2019,September,2019,November,33,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2021,October,2022,January,59,Up to 60 days used,late,Full Disclosure,1
FOIA Case,Closed,2020,July,2020,August,16,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2020,November,2020,November,21,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2020,October,2020,November,7,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2022,April,2022,May,22,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2022,February,2022,July,105,More than 60 days used,late,Full Disclosure,1
FOIA Case,Closed,2022,July,2022,August,27,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2022,January,2022,February,35,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2022,September,2022,October,16,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2023 to June,February,2023 to June,March,14,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2020,October,2020,December,30,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2021,March,2021,August,95,More than 60 days used,late,Full Disclosure,1
FOIA Case,Closed,2020,January,2020,April,73,More than 60 days used,late,Full Disclosure,1
FOIA Case,Closed,2021,June,2021,July,36,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2019,September,2019,September,6,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2021,February,2021,February,18,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2020,November,2020,December,10,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2021,January,2021,January,15,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2021,April,2021,June,34,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2020,July,2020,July,22,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2022,April,2022,July,12,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2020,June,2020,July,3,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2022,May,2022,June,16,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2022,November,2022,December,17,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2020,July,2020,September,17,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2021,August,2021,September,17,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2022,June,2022,June,10,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2020,December,2021,January,24,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2023 to June,January,2023 to June,February,26,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2021,June,2021,July,16,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2021,May,2021,June,13,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2021,April,2021,April,16,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2019,September,2019,November,27,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2022,October,2022,November,30,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2020,November,2021,January,44,Up to 60 days used,late,Full Disclosure,1
FOIA Case,Closed,2022,October,2022,November,27,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2019,September,2019,November,40,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2023 to June,May,2023 to June,May,12,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2019,August,2019,August,7,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2022,April,2022,May,28,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2019,November,2019,November,12,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2020,November,2020,December,7,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2020,June,2020,July,17,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2022,May,2022,August,25,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2021,May,2021,July,29,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2021,May,2021,June,15,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2021,February,2021,March,15,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2021,April,2021,May,19,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2022,April,2022,June,22,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2022,May,2022,July,23,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2022,August,2022,September,26,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2021,March,2021,June,56,Up to 60 days used,late,Full Disclosure,1
FOIA Case,Closed,2022,April,2022,May,12,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2023 to June,May,2023 to June,June,18,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2023 to June,April,2023 to June,May,31,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2023 to June,April,2023 to June,May,28,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2020,January,2020,February,14,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2020,January,2020,February,15,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2020,July,2020,September,36,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2020,September,2020,November,49,Up to 60 days used,late,Full Disclosure,1
FOIA Case,Closed,2021,August,2021,September,14,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2021,March,2021,April,30,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2022,May,2022,June,8,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2022,April,2022,April,10,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2022,December,2022,December,12,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2023 to June,May,2023 to June,June,25,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2021,January,2021,April,62,More than 60 days used,late,Full Disclosure,1
FOIA Case,Closed,2019,December,2019,December,3,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2019,November,2019,November,4,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2019,August,2019,August,8,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2019,October,2019,October,9,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2019,September,2019,September,11,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2019,September,2019,October,25,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2019,December,2020,February,32,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2022,June,2022,July,31,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2022,October,2022,November,18,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2022,November,2022,December,19,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2022,May,2022,June,20,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2020,July,2020,August,30,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2021,June,2021,August,40,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2022,June,2022,July,8,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2022,June,2022,August,27,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2019,November,2019,November,6,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2021,February,2021,February,7,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2021,May,2021,June,10,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2021,May,2021,June,12,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2021,January,2021,February,16,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2022,November,2022,December,20,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2019,December,2020,January,20,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2023 to June,February,2023 to June,March,21,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2020,May,2020,June,23,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2019,November,2020,January,29,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2022,April,2022,June,28,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2021,January,2021,August,137,More than 60 days used,late,Full Disclosure,1
FOIA Case,Closed,2021,February,2021,April,19,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2022,December,2023 to June,January,17,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2022,July,2022,August,23,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2021,August,2021,September,25,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2023 to June,May,2023 to June,July,28,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2021,July,2021,November,59,Up to 60 days used,late,Full Disclosure,1
FOIA Case,Closed,2020,March,2020,April,33,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2020,February,2020,April,37,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2023 to June,May,2023 to June,June,4,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2023 to June,May,2023 to June,June,27,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2022,June,2022,July,6,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2022,September,2022,September,8,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2023 to June,February,2023 to June,February,8,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2021,May,2021,June,9,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2021,April,2021,May,14,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2019,November,2019,December,14,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2022,August,2022,August,16,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2022,April,2022,May,19,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2022,April,2022,May,36,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2020,January,2020,April,63,More than 60 days used,late,Full Disclosure,1
FOIA Case,Closed,2021,February,2021,July,107,More than 60 days used,late,Full Disclosure,1
FOIA Case,Closed,2023 to June,April,2023 to June,May,16,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2023 to June,March,2023 to June,April,28,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2022,December,2023 to June,January,22,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2023 to June,March,2023 to June,May,34,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2023 to June,February,2023 to June,March,38,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2022,December,2023 to June,March,66,More than 60 days used,late,Full Disclosure,1
FOIA Case,Closed,2023 to June,January,2023 to June,June,31,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2019,September,2019,October,11,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2019,August,2019,September,11,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2021,March,2021,April,12,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2019,November,2019,December,22,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2022,May,2022,July,24,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2020,May,2020,November,34,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2020,August,2020,August,3,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2021,August,2021,August,5,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2020,August,2020,September,5,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2022,August,2022,September,5,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2020,December,2020,December,7,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2021,September,2021,October,9,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2020,August,2020,August,10,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2021,April,2021,April,13,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2021,April,2021,May,16,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2020,March,2020,April,17,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2021,June,2021,July,18,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2022,July,2022,August,19,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2020,February,2020,March,25,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2019,October,2019,November,30,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2021,August,2021,August,3,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2019,July,2019,August,10,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2020,April,2020,May,16,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2021,July,2021,September,27,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2019,November,2020,January,37,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2021,June,2021,September,58,Up to 60 days used,late,Full Disclosure,1
FOIA Case,Closed,2022,June,2022,October,16,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2021,June,2021,June,6,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2020,May,2020,May,7,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2020,December,2021,January,12,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2022,August,2022,September,13,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2021,July,2021,July,15,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2020,August,2020,August,16,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2022,December,2023 to June,January,21,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2021,July,2021,August,22,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2021,July,2021,August,23,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2020,March,2020,April,28,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2020,July,2020,September,37,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2021,March,2021,April,39,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2022,April,2022,May,40,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2020,February,2020,April,29,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2021,May,2021,May,2,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2022,September,2022,September,7,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2022,April,2022,April,15,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2022,March,2022,April,17,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2023 to June,February,2023 to June,March,22,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2022,September,2022,October,29,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2020,July,2020,October,54,Up to 60 days used,late,Full Disclosure,1
FOIA Case,Closed,2020,March,2020,March,14,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2022,October,2022,December,26,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2021,April,2021,April,14,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2021,July,2021,July,18,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2020,February,2020,February,7,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2019,October,2019,November,34,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2020,April,2020,April,3,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2019,August,2019,October,34,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2022,June,2022,June,18,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2019,October,2019,November,23,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2020,September,2020,October,21,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2023 to June,June,2023 to June,June,14,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2022,November,2023 to June,January,32,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2020,July,2020,August,18,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2020,February,2020,February,3,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2019,November,2019,December,5,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2022,April,2022,May,20,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2020,December,2021,January,23,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2019,September,2019,November,39,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2019,October,2019,November,11,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2020,August,2020,November,64,More than 60 days used,late,Full Disclosure,1
FOIA Case,Closed,2021,July,2021,November,86,More than 60 days used,late,Full Disclosure,1
FOIA Case,Closed,2021,May,2021,May,6,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2020,July,2020,August,37,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2021,May,2021,July,43,Up to 60 days used,late,Full Disclosure,1
FOIA Case,Closed,2022,October,2023 to June,January,9,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2022,July,2022,September,33,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2019,October,2020,January,51,Up to 60 days used,late,Full Disclosure,1
FOIA Case,Closed,2020,February,2020,February,9,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2020,April,2020,April,13,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2020,April,2020,April,15,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2021,January,2021,February,14,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2021,April,2021,July,61,More than 60 days used,late,Full Disclosure,1
FOIA Case,Closed,2021,July,2021,August,9,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2022,November,2023 to June,January,46,Up to 60 days used,late,Full Disclosure,1
FOIA Case,Closed,2021,September,2021,December,54,Up to 60 days used,late,Full Disclosure,1
FOIA Case,Closed,2023 to June,March,2023 to June,May,49,Up to 60 days used,late,Full Disclosure,1
FOIA Case,Closed,2019,December,2020,January,16,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2020,May,2020,June,7,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2020,January,2020,February,10,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2021,September,2021,September,4,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2020,June,2020,August,21,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2021,June,2021,July,13,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2021,October,2021,November,35,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2020,December,2021,January,10,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2020,March,2020,May,38,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2020,November,2020,November,12,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2020,April,2020,April,2,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2021,October,2022,March,42,Up to 60 days used,late,Full Disclosure,1
FOIA Case,Closed,2020,May,2020,May,15,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2020,March,2020,April,5,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2021,July,2021,August,20,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2020,May,2020,June,29,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2021,February,2021,March,21,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2020,December,2021,January,22,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2021,January,2021,February,17,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2020,December,2021,January,20,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2020,November,2020,December,24,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2021,September,2021,October,27,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2021,January,2021,February,35,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2021,April,2021,August,89,More than 60 days used,late,Full Disclosure,1
FOIA Case,Closed,2020,February,2020,March,17,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2021,November,2021,November,9,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2021,November,2021,November,11,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2021,June,2021,July,23,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2020,September,2020,December,53,Up to 60 days used,late,Full Disclosure,1
FOIA Case,Closed,2021,March,2021,April,24,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2021,March,2021,April,26,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2021,January,2021,January,12,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2020,February,2020,March,24,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2020,November,2021,January,28,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2020,March,2020,March,10,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2021,June,2021,July,11,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2021,April,2021,May,29,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2021,March,2021,May,42,Up to 60 days used,late,Full Disclosure,1
FOIA Case,Closed,2019,November,2020,January,55,Up to 60 days used,late,Full Disclosure,1
FOIA Case,Closed,2020,October,2020,November,36,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2020,October,2020,November,16,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2020,March,2020,May,42,Up to 60 days used,late,Full Disclosure,1
FOIA Case,Closed,2019,September,2019,December,62,More than 60 days used,late,Full Disclosure,1
FOIA Case,Closed,2020,May,2020,May,2,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2021,June,2021,August,50,Up to 60 days used,late,Full Disclosure,1
FOIA Case,Closed,2020,January,2020,February,6,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2021,September,2021,November,30,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2020,October,2020,October,16,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2021,July,2021,December,35,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2021,January,2021,January,6,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2021,September,2021,October,32,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2021,April,2021,May,25,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2021,February,2021,March,23,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2021,October,2021,December,54,Up to 60 days used,late,Full Disclosure,1
FOIA Case,Closed,2020,March,2020,May,59,Up to 60 days used,late,Full Disclosure,1
FOIA Case,Closed,2022,April,2022,July,64,More than 60 days used,late,Full Disclosure,1
FOIA Case,Closed,2021,June,2021,July,32,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2022,June,2022,July,14,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2021,February,2021,May,60,Up to 60 days used,late,Full Disclosure,1
FOIA Case,Closed,2021,May,2021,July,25,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2020,November,2021,January,47,Up to 60 days used,late,Full Disclosure,1
FOIA Case,Closed,2021,May,2021,July,36,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2022,May,2022,July,30,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2021,July,2021,July,11,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2020,April,2020,June,40,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2022,April,2022,August,68,More than 60 days used,late,Full Disclosure,1
FOIA Case,Closed,2022,May,2022,August,47,Up to 60 days used,late,Full Disclosure,1
FOIA Case,Closed,2021,August,2021,August,18,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2022,January,2022,April,57,Up to 60 days used,late,Full Disclosure,1
FOIA Case,Closed,2022,August,2022,November,64,More than 60 days used,late,Full Disclosure,1
FOIA Case,Closed,2020,May,2020,June,12,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2020,July,2020,August,36,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2022,May,2022,August,62,More than 60 days used,late,Full Disclosure,1
FOIA Case,Closed,2020,August,2020,November,65,More than 60 days used,late,Full Disclosure,1
FOIA Case,Closed,2020,May,2020,June,5,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2021,May,2021,July,34,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2022,January,2022,June,91,More than 60 days used,late,Full Disclosure,1
FOIA Case,Closed,2021,October,2021,November,26,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2019,November,2020,February,20,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2023 to June,March,2023 to June,April,2,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2019,August,2019,October,49,Up to 60 days used,late,Full Disclosure,1
FOIA Case,Closed,2022,April,2022,August,78,More than 60 days used,late,Full Disclosure,1
FOIA Case,Closed,2020,January,2020,March,30,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2020,November,2020,December,12,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2021,June,2021,July,17,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2021,December,2022,March,76,More than 60 days used,late,Full Disclosure,1
FOIA Case,Closed,2019,October,2019,October,18,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2019,September,2019,November,26,Up to 40 days used,late,Full Disclosure,1
FOIA Case,Closed,2020,March,2020,April,29,Up to 40 days used,late,Full Disclosure,1
